locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T23:30:00+00:00,2023-03-02T05:00:00+05:30,pm25,130,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T22:30:00+00:00,2023-03-02T04:00:00+05:30,pm25,140,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T21:30:00+00:00,2023-03-02T03:00:00+05:30,pm25,140,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T20:30:00+00:00,2023-03-02T02:00:00+05:30,pm25,143,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T19:30:00+00:00,2023-03-02T01:00:00+05:30,pm25,116,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T18:30:00+00:00,2023-03-02T00:00:00+05:30,pm25,112,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T17:30:00+00:00,2023-03-01T23:00:00+05:30,pm25,145,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T16:30:00+00:00,2023-03-01T22:00:00+05:30,pm25,82,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T15:30:00+00:00,2023-03-01T21:00:00+05:30,pm25,71,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T14:30:00+00:00,2023-03-01T20:00:00+05:30,pm25,77,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T13:30:00+00:00,2023-03-01T19:00:00+05:30,pm25,52,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T12:30:00+00:00,2023-03-01T18:00:00+05:30,pm25,52,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T11:30:00+00:00,2023-03-01T17:00:00+05:30,pm25,55,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T10:30:00+00:00,2023-03-01T16:00:00+05:30,pm25,51,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T09:30:00+00:00,2023-03-01T15:00:00+05:30,pm25,60,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T08:30:00+00:00,2023-03-01T14:00:00+05:30,pm25,61,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T07:30:00+00:00,2023-03-01T13:00:00+05:30,pm25,53,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T06:30:00+00:00,2023-03-01T12:00:00+05:30,pm25,47,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T05:30:00+00:00,2023-03-01T11:00:00+05:30,pm25,68,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T04:30:00+00:00,2023-03-01T10:00:00+05:30,pm25,61,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T03:30:00+00:00,2023-03-01T09:00:00+05:30,pm25,43,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T02:30:00+00:00,2023-03-01T08:00:00+05:30,pm25,52,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T01:30:00+00:00,2023-03-01T07:00:00+05:30,pm25,64,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-03-01T00:30:00+00:00,2023-03-01T06:00:00+05:30,pm25,52,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T23:30:00+00:00,2023-03-01T05:00:00+05:30,pm25,61,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T22:30:00+00:00,2023-03-01T04:00:00+05:30,pm25,91,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T21:30:00+00:00,2023-03-01T03:00:00+05:30,pm25,64,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T20:30:00+00:00,2023-03-01T02:00:00+05:30,pm25,66,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T19:30:00+00:00,2023-03-01T01:00:00+05:30,pm25,77,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T18:30:00+00:00,2023-03-01T00:00:00+05:30,pm25,59,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T17:30:00+00:00,2023-02-28T23:00:00+05:30,pm25,53,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T16:30:00+00:00,2023-02-28T22:00:00+05:30,pm25,117,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T15:30:00+00:00,2023-02-28T21:00:00+05:30,pm25,68,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T14:30:00+00:00,2023-02-28T20:00:00+05:30,pm25,43,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T13:30:00+00:00,2023-02-28T19:00:00+05:30,pm25,86,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T12:30:00+00:00,2023-02-28T18:00:00+05:30,pm25,82,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T11:30:00+00:00,2023-02-28T17:00:00+05:30,pm25,62,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T10:30:00+00:00,2023-02-28T16:00:00+05:30,pm25,59,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T09:30:00+00:00,2023-02-28T15:00:00+05:30,pm25,57,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T08:30:00+00:00,2023-02-28T14:00:00+05:30,pm25,68,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T07:30:00+00:00,2023-02-28T13:00:00+05:30,pm25,68,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T06:30:00+00:00,2023-02-28T12:00:00+05:30,pm25,53,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T05:30:00+00:00,2023-02-28T11:00:00+05:30,pm25,78,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T04:30:00+00:00,2023-02-28T10:00:00+05:30,pm25,105,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T03:30:00+00:00,2023-02-28T09:00:00+05:30,pm25,124,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T02:30:00+00:00,2023-02-28T08:00:00+05:30,pm25,147,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T01:30:00+00:00,2023-02-28T07:00:00+05:30,pm25,105,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-28T00:30:00+00:00,2023-02-28T06:00:00+05:30,pm25,99,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T23:30:00+00:00,2023-02-28T05:00:00+05:30,pm25,93,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T22:30:00+00:00,2023-02-28T04:00:00+05:30,pm25,85,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T21:30:00+00:00,2023-02-28T03:00:00+05:30,pm25,83,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T20:30:00+00:00,2023-02-28T02:00:00+05:30,pm25,87,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T19:30:00+00:00,2023-02-28T01:00:00+05:30,pm25,84,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T18:30:00+00:00,2023-02-28T00:00:00+05:30,pm25,85,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T17:30:00+00:00,2023-02-27T23:00:00+05:30,pm25,95,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T16:30:00+00:00,2023-02-27T22:00:00+05:30,pm25,96,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T15:30:00+00:00,2023-02-27T21:00:00+05:30,pm25,110,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T14:30:00+00:00,2023-02-27T20:00:00+05:30,pm25,64,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T13:30:00+00:00,2023-02-27T19:00:00+05:30,pm25,52,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T12:30:00+00:00,2023-02-27T18:00:00+05:30,pm25,48,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T11:30:00+00:00,2023-02-27T17:00:00+05:30,pm25,61,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T10:30:00+00:00,2023-02-27T16:00:00+05:30,pm25,62,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T09:30:00+00:00,2023-02-27T15:00:00+05:30,pm25,63,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T08:30:00+00:00,2023-02-27T14:00:00+05:30,pm25,64,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T07:30:00+00:00,2023-02-27T13:00:00+05:30,pm25,78,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T06:30:00+00:00,2023-02-27T12:00:00+05:30,pm25,95,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T05:30:00+00:00,2023-02-27T11:00:00+05:30,pm25,109,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T04:30:00+00:00,2023-02-27T10:00:00+05:30,pm25,155,µg/m³,28.63576,77.22445
8118,US Diplomatic Post: New Delhi,Delhi,IN,2023-02-27T03:30:00+00:00,2023-02-27T09:00:00+05:30,pm25,183,µg/m³,28.63576,77.22445
